table_id,dept,prov,dist,eligible_voters,total_voters
033654,LIMA,LIMA,LIMA,300,215
033655,LIMA,LIMA,LIMA,300,225
033656,LIMA,LIMA,LIMA,300,220
033657,LIMA,LIMA,LIMA,300,233
033658,LIMA,LIMA,LIMA,300,225
033659,LIMA,LIMA,LIMA,300,215
033660,LIMA,LIMA,LIMA,300,222
033661,LIMA,LIMA,LIMA,300,203
033662,LIMA,LIMA,LIMA,300,233
033663,LIMA,LIMA,LIMA,300,216
033664,LIMA,LIMA,LIMA,300,239
033665,LIMA,LIMA,LIMA,300,242
033666,LIMA,LIMA,LIMA,300,222
033667,LIMA,LIMA,LIMA,300,225
033668,LIMA,LIMA,LIMA,300,242
033669,LIMA,LIMA,LIMA,300,228
033670,LIMA,LIMA,LIMA,300,237
033671,LIMA,LIMA,LIMA,300,229
033672,LIMA,LIMA,LIMA,300,230
033673,LIMA,LIMA,LIMA,300,236
033674,LIMA,LIMA,LIMA,300,196
033675,LIMA,LIMA,LIMA,300,196
033676,LIMA,LIMA,LIMA,300,203
033677,LIMA,LIMA,LIMA,300,220
033678,LIMA,LIMA,LIMA,300,207
033679,LIMA,LIMA,LIMA,300,196
033680,LIMA,LIMA,LIMA,300,191
033681,LIMA,LIMA,LIMA,300,207
033682,LIMA,LIMA,LIMA,300,203
033683,LIMA,LIMA,LIMA,300,197
033684,LIMA,LIMA,LIMA,300,212
033685,LIMA,LIMA,LIMA,300,208
033686,LIMA,LIMA,LIMA,300,205
033687,LIMA,LIMA,LIMA,300,192
033688,LIMA,LIMA,LIMA,300,200
033689,LIMA,LIMA,LIMA,300,233
033690,LIMA,LIMA,LIMA,300,234
033691,LIMA,LIMA,LIMA,300,238
033692,LIMA,LIMA,LIMA,300,238
033693,LIMA,LIMA,LIMA,300,245
033694,LIMA,LIMA,LIMA,300,243
033695,LIMA,LIMA,LIMA,300,228
033696,LIMA,LIMA,LIMA,300,240
033697,LIMA,LIMA,LIMA,300,244
033698,LIMA,LIMA,LIMA,300,229
033699,LIMA,LIMA,LIMA,300,231
033700,LIMA,LIMA,LIMA,300,221
033701,LIMA,LIMA,LIMA,300,228
033702,LIMA,LIMA,LIMA,300,219
033703,LIMA,LIMA,LIMA,300,221
033704,LIMA,LIMA,LIMA,300,212
033705,LIMA,LIMA,LIMA,300,230
033706,LIMA,LIMA,LIMA,300,233
033707,LIMA,LIMA,LIMA,300,224
033708,LIMA,LIMA,LIMA,300,217
033709,LIMA,LIMA,LIMA,300,227
033710,LIMA,LIMA,LIMA,300,229
033711,LIMA,LIMA,LIMA,300,241
033712,LIMA,LIMA,LIMA,300,231
033713,LIMA,LIMA,LIMA,300,221
033714,LIMA,LIMA,LIMA,300,216
033715,LIMA,LIMA,LIMA,300,211
033716,LIMA,LIMA,LIMA,300,209
033717,LIMA,LIMA,LIMA,300,229
033718,LIMA,LIMA,LIMA,300,237
033719,LIMA,LIMA,LIMA,300,221
033720,LIMA,LIMA,LIMA,300,224
033721,LIMA,LIMA,LIMA,300,227
033722,LIMA,LIMA,LIMA,300,227
033723,LIMA,LIMA,LIMA,300,208
033724,LIMA,LIMA,LIMA,300,234
033725,LIMA,LIMA,LIMA,300,235
033726,LIMA,LIMA,LIMA,300,229
033727,LIMA,LIMA,LIMA,300,224
033728,LIMA,LIMA,LIMA,300,229
033729,LIMA,LIMA,LIMA,300,217
033730,LIMA,LIMA,LIMA,300,218
033731,LIMA,LIMA,LIMA,300,222
033732,LIMA,LIMA,LIMA,300,219
033733,LIMA,LIMA,LIMA,300,230
033734,LIMA,LIMA,LIMA,300,232
033735,LIMA,LIMA,LIMA,300,233
033736,LIMA,LIMA,LIMA,300,228
033737,LIMA,LIMA,LIMA,300,231
033738,LIMA,LIMA,LIMA,300,233
033739,LIMA,LIMA,LIMA,300,218
033740,LIMA,LIMA,LIMA,300,201
033741,LIMA,LIMA,LIMA,300,210
033742,LIMA,LIMA,LIMA,300,213
033743,LIMA,LIMA,LIMA,300,195
033744,LIMA,LIMA,LIMA,300,219
033745,LIMA,LIMA,LIMA,300,204
