table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
036256,LIMA,LIMA,LIMA,08:20 a. m.,230,172,40,1
036253,LIMA,LIMA,LIMA,07:50 a. m.,300,230,38,6
036258,LIMA,LIMA,LIMA,07:30 a. m.,300,237,47,5
036259,LIMA,LIMA,LIMA,09:00 a. m.,300,237,46,4
036255,LIMA,LIMA,LIMA,07:39 a. m.,230,169,32,3
036257,LIMA,LIMA,LIMA,07:39 a. m.,300,223,50,2
036262,LIMA,LIMA,LIMA,08:40 a. m.,300,229,48,4
036261,LIMA,LIMA,LIMA,08:23 a. m.,300,238,59,4
036266,LIMA,LIMA,LIMA,09:54 a. m.,300,232,42,2
036260,LIMA,LIMA,LIMA,08:28 a. m.,300,235,55,0
036263,LIMA,LIMA,LIMA,07:30 a. m.,300,224,48,4
036264,LIMA,LIMA,LIMA,09:16 a. m.,300,234,37,3
036268,LIMA,LIMA,LIMA,08:52 a. m.,300,231,47,4
036267,LIMA,LIMA,LIMA,08:01 a. m.,300,226,54,4
036265,LIMA,LIMA,LIMA,07:16 a. m.,300,240,41,6
036269,LIMA,LIMA,LIMA,09:14 a. m.,300,223,41,4
036270,LIMA,LIMA,LIMA,07:00 a. m.,300,221,50,5
036274,LIMA,LIMA,LIMA,08:54 a. m.,300,229,49,6
036271,LIMA,LIMA,LIMA,07:00 a. m.,300,220,50,4
036275,LIMA,LIMA,LIMA,08:32 a. m.,300,226,53,3
036272,LIMA,LIMA,LIMA,06:45 a. m.,300,236,60,1
036276,LIMA,LIMA,LIMA,07:00 a. m.,300,224,58,3
036273,LIMA,LIMA,LIMA,06:45 a. m.,300,228,48,2
036277,LIMA,LIMA,LIMA,07:00 a. m.,300,241,48,4
036279,LIMA,LIMA,LIMA,08:16 a. m.,300,237,59,1
036278,LIMA,LIMA,LIMA,09:20 a. m.,300,220,51,2
036280,LIMA,LIMA,LIMA,08:39 a. m.,300,224,57,5
036281,LIMA,LIMA,LIMA,07:30 a. m.,300,225,54,4
036283,LIMA,LIMA,LIMA,07:47 a. m.,300,232,50,3
036282,LIMA,LIMA,LIMA,08:00 a. m.,300,223,41,2
036284,LIMA,LIMA,LIMA,08:55 a. m.,300,240,50,4
036285,LIMA,LIMA,LIMA,08:00 a. m.,300,232,42,4
036286,LIMA,LIMA,LIMA,07:30 a. m.,300,232,35,4
036289,LIMA,LIMA,LIMA,08:54 a. m.,300,232,66,4
036287,LIMA,LIMA,LIMA,07:30 a. m.,300,226,51,1
036290,LIMA,LIMA,LIMA,08:53 a. m.,300,228,56,1
036288,LIMA,LIMA,LIMA,08:30 a. m.,300,229,50,3
036292,LIMA,LIMA,LIMA,08:08 a. m.,300,214,47,4
036293,LIMA,LIMA,LIMA,07:29 a. m.,300,231,54,2
036295,LIMA,LIMA,LIMA,09:00 a. m.,300,229,48,1
036298,LIMA,LIMA,LIMA,08:49 a. m.,300,209,65,1
036291,LIMA,LIMA,LIMA,08:15 a. m.,300,218,43,2
036294,LIMA,LIMA,LIMA,07:30 a. m.,300,238,57,3
036297,LIMA,LIMA,LIMA,09:19 a. m.,300,223,61,0
036296,LIMA,LIMA,LIMA,07:56 a. m.,300,243,61,7
036299,LIMA,LIMA,LIMA,07:20 a. m.,230,209,27,2
036303,LIMA,LIMA,LIMA,08:27 a. m.,300,264,45,4
036305,LIMA,LIMA,LIMA,07:34 a. m.,300,264,31,2
036302,LIMA,LIMA,LIMA,07:27 a. m.,300,274,28,5
036301,LIMA,LIMA,LIMA,08:32 a. m.,300,266,45,2
036304,LIMA,LIMA,LIMA,08:52 a. m.,300,269,44,11
036307,LIMA,LIMA,LIMA,08:21 a. m.,300,272,35,2
036311,LIMA,LIMA,LIMA,08:22 a. m.,300,280,44,9
036306,LIMA,LIMA,LIMA,07:10 a. m.,300,275,43,7
036312,LIMA,LIMA,LIMA,07:57 a. m.,300,276,42,10
036310,LIMA,LIMA,LIMA,08:10 a. m.,300,275,33,6
036316,LIMA,LIMA,LIMA,07:32 a. m.,300,251,48,6
036308,LIMA,LIMA,LIMA,08:35 a. m.,300,269,36,3
036315,LIMA,LIMA,LIMA,07:26 a. m.,230,173,22,1
036318,LIMA,LIMA,LIMA,07:50 a. m.,300,250,48,7
036321,LIMA,LIMA,LIMA,07:50 a. m.,300,249,38,2
036319,LIMA,LIMA,LIMA,07:08 a. m.,300,254,41,6
036317,LIMA,LIMA,LIMA,07:47 a. m.,300,263,38,7
036320,LIMA,LIMA,LIMA,08:25 a. m.,300,247,39,0
036322,LIMA,LIMA,LIMA,08:14 a. m.,300,245,49,1
036323,LIMA,LIMA,LIMA,07:40 a. m.,300,240,42,1
036327,LIMA,LIMA,LIMA,07:10 a. m.,300,232,40,1
036326,LIMA,LIMA,LIMA,07:30 a. m.,300,237,32,3
